team,xG,build_up_disruption,ppda,tilt
Fiorentina,1.875,3.002654892582535,8.434444444444445,65.4433
Milan,1.57,2.620952723407017,9.274375,55.2905
Spezia,1.2063636363636363,1.8316322771523177,10.18318181818182,50
Napoli,2.001639344262295,1.7957637204314634,10.09311475409836,62.7451
Torino,1.225,1.5247496412369268,10.218076923076923,54.7375
Bologna,1.2512244897959184,1.1704775700853851,9.94938775510204,46.6667
Lecce,1.090681818181818,1.0752760407217057,10.649772727272728,50.7937
Hellas Verona,1.0877272727272729,0.9656314442602988,11.402727272727272,42.7521
Monza,1.2793181818181818,-0.01737344719342347,11.808636363636364,49.6667
Atalanta,1.6517391304347826,-0.08959631309801139,10.554565217391303,50.8845
Empoli,1.2223404255319148,-0.18757887067200493,12.672553191489362,40.625
Sassuolo,1.3775,-0.4795743584684587,13.807045454545454,52.7864
Cremonese,1.2219565217391304,-0.5208841915954846,13.345434782608695,45.9677
Sampdoria,1.0756818181818182,-0.5703115851600382,12.62409090909091,47.4547
Udinese,1.2733333333333334,-0.7657807725111108,12.279803921568629,44.6154
Internazionale,1.816231884057971,-1.2357533730990415,10.535942028985508,55.7143
Roma,1.6955072463768115,-1.423070219440412,12.382753623188403,41.6667
Salernitana,1.067608695652174,-1.5462803053066916,13.47,39.7183
Lazio,1.4917543859649125,-1.613428970272754,13.623508771929824,54.1667
Juventus,1.5506153846153847,-1.8214213500617815,12.37923076923077,47.0588
